Country,Trade_Openness,GDP_per_Capita,Export_Import_Ratio,Gross Domestic Product (GDP),Total_Trade,Population,Region,Trade_per_Capita,GDP_Size_Category,Cluster,Cluster_Name
San Marino,315.6679904695739,46017.2836217816,1.167953857889507,1561813054.7142856,4930639133.857142,33935.142857142855,Europe,145295.9592542076,Small,1,Trade Hub (Rich & Open)
Sao Tome and Principe,68.59942308817878,1962.5255328124588,0.4483658112698587,417351164.0,277784703.71428573,211640.42857142858,Africa,1312.531379705336,Small,0,Trade-Dependent (Open)
Saudi Arabia,62.19400798261015,21131.640292576827,1.1901939903957017,735142857142.8572,456428571428.5714,34736034.0,Asia,13139.916071839732,Small,0,Trade-Dependent (Open)
Senegal,60.46698940169241,1426.7796084664762,0.598952050142335,22348945923.57143,13621953234.142857,15593408.57142857,Africa,873.5712382411397,Small,0,Trade-Dependent (Open)
Serbia,107.09201935309186,6612.430150458177,0.8682277733258817,49012245879.14286,52877480214.71429,7423901.714285715,Europe,7122.599712353796,Small,0,Trade-Dependent (Open)
Seychelles,203.4962597043109,14003.334508639718,0.8821497841253446,1440451905.4285715,2934355967.0,103004.85714285714,Africa,28487.54950390689,Small,0,Trade-Dependent (Open)
Sierra Leone,62.553917263675416,515.3608010559385,0.43400362072467996,4046244929.428571,2522997054.285714,7864138.714285715,Africa,320.8230609796503,Small,0,Trade-Dependent (Open)
Singapore,323.6687684630552,60546.31041881959,1.1938407033638103,352000000000.0,1140857142857.1428,5808329.857142857,Asia,196417.41617931036,Small,1,Trade Hub (Rich & Open)
Sint Maarten (Dutch part),207.675852066015,30484.209337825887,0.9935714531111276,1287141154.0,2676779581.714286,42331.857142857145,Americas,63233.218724162485,Small,1,Trade Hub (Rich & Open)
Slovakia,182.9724740524286,18642.981924753734,1.0178893136088012,101486677226.28572,185705990376.14285,5442862.285714285,Europe,34119.178591668526,Small,0,Trade-Dependent (Open)
Slovenia,153.90361240447353,24457.86199191443,1.11464577414144,51482923492.42857,79507523671.71428,2103592.8571428573,Europe,37796.06086878571,Small,0,Trade-Dependent (Open)
Solomon Islands,78.11882808364011,2284.620520769438,0.8441038056888691,1508606265.857143,1172326195.2857144,659668.5714285715,Oceania,1777.1442297863862,Small,0,Trade-Dependent (Open)
Somalia,100.65413476689787,400.1635019489099,0.22763042253902116,6190074041.857142,6253133461.0,15416566.42857143,Africa,405.6112941861753,Small,0,Trade-Dependent (Open)
South Africa,54.531526189354246,6458.096627712499,1.0691807212379003,371571428571.4286,202722033346.42856,57508694.14285714,Africa,3525.0675809617146,Small,0,Trade-Dependent (Open)
South Sudan,140.7363363398178,394.732979238319,0.5032857969140434,4243112343.285714,6167753360.714286,10730874.857142856,Africa,574.7670570036336,Small,0,Trade-Dependent (Open)
Spain,65.38073401274328,28201.432545816544,1.087955420370443,1322857142857.1428,866571428571.4286,46894712.0,Europe,18479.08626822207,Small,0,Trade-Dependent (Open)
Sri Lanka,48.240557769713305,3898.1447693669115,0.741974167467731,84082476630.28572,40626407706.85714,21569699.714285713,Asia,1883.4943575941431,Small,0,Trade-Dependent (Open)
St. Vincent and the Grenadines,79.7371026367275,8135.920315200422,0.6152225796802548,856521941.1428572,680906490.1428572,105309.0,Americas,6465.795802285248,Small,0,Trade-Dependent (Open)
State of Palestine,69.5381170641854,3340.6549033999136,0.2937847199867609,16069200000.0,11189514285.714285,4806789.142857143,Asia,2327.856278518443,Small,0,Trade-Dependent (Open)
Sudan,20.988971778056474,1570.8704282454162,0.4743835431045746,64177199273.14286,12685524911.571428,41936716.428571425,Africa,302.4920878862323,Small,0,Trade-Dependent (Open)
Suriname,102.94710989778252,6519.203870786695,0.9807525848203417,3867010453.714286,3961808313.428571,594079.0,Americas,6668.824034225366,Small,0,Trade-Dependent (Open)
Sweden,85.90740137342537,53862.44308913749,1.0861380088574166,547714285714.2857,470857142857.1429,10161020.285714285,Europe,46339.553471725325,Small,0,Trade-Dependent (Open)
Switzerland,118.91318883850222,86225.55891835167,1.2185355019457618,733571428571.4286,873142857142.8572,8503765.42857143,Europe,102677.20393711975,Small,1,Trade Hub (Rich & Open)
Syrian Arab Republic,64.82646665941647,1019.6914037340641,0.9908542566734274,20250947283.42857,13127315189.857143,19811639.85714286,Asia,662.6061893167436,Small,0,Trade-Dependent (Open)
Tajikistan,57.217251483993486,872.1705322009966,0.37266993145567323,7963762638.142858,4575207012.285714,9133330.285714285,Asia,500.93524149038296,Small,0,Trade-Dependent (Open)
Thailand,115.9429238366665,6686.406804195803,1.1601703421480138,475285714285.7143,548571428571.4286,71044566.85714285,Asia,7721.511339135921,Small,0,Trade-Dependent (Open)
Timor-Leste,82.54162831461097,1400.6785564119032,0.2980548569042976,1771252656.4285715,1501601999.5714285,1262404.2857142857,Asia,1189.4779006725262,Small,0,Trade-Dependent (Open)
Togo,61.72788631741779,844.2986643829523,0.7194375037204347,6818211432.857142,4199194286.714286,8052080.0,Africa,521.5042928925552,Small,0,Trade-Dependent (Open)
Tonga,84.01359168818105,4376.410701798467,0.30366810000524797,461672117.85714287,388228062.85714287,105516.57142857143,Oceania,3679.308923716789,Small,0,Trade-Dependent (Open)
Trinidad and Tobago,81.33959509483282,16033.577824962098,1.1487037545461345,23976841243.714287,19629410089.42857,1496655.4285714286,Americas,13115.51724912729,Small,0,Trade-Dependent (Open)
Tunisia,93.56395943858152,3669.5262146532486,0.7946667224890793,43731570139.85714,40868629408.42857,11923130.42857143,Africa,3427.6761168774074,Small,0,Trade-Dependent (Open)
Turkmenistan,118.3615958048958,7066.4133962398255,1.6823282133726087,42956804178.0,50844531690.42857,6059879.142857143,Asia,8390.354079975286,Small,0,Trade-Dependent (Open)
Turks and Caicos Islands,134.01654874979795,24979.355059017085,1.384467380574735,1025047538.2857143,1373681931.0,41226.42857142857,Americas,33320.42038567493,Small,0,Trade-Dependent (Open)
Tuvalu,122.01902277516979,4388.989407047756,0.1339865720156935,48123495.14285714,57251163.28571428,10950.142857142857,Oceania,5228.348527742625,Small,0,Trade-Dependent (Open)
Türkiye,58.904142796121725,9823.945754444923,0.953382807589776,810000000000.0,474857142857.1429,82565316.85714285,Asia,5751.290746921687,Small,0,Trade-Dependent (Open)
U.R. of Tanzania: Mainland,33.22382009393623,1018.7760350729526,0.8605109604337892,57806879762.57143,18965693464.142857,56487053.85714286,Africa,335.75292335315555,Small,0,Trade-Dependent (Open)
Uganda,34.19783673445595,834.7827325736798,0.6465445356372527,34848827512.28571,11945704709.571428,41582229.14285714,Africa,287.27908425812285,Small,0,Trade-Dependent (Open)
Ukraine,95.51815572406949,3030.641255856025,0.9001253414642078,134055262534.14285,124524644045.28572,44367503.71428572,Europe,2806.6632922868394,Small,0,Trade-Dependent (Open)
United Arab Emirates,174.35905300243104,42218.56894855172,1.3249336678305208,386000000000.0,672285714285.7142,9140531.142857144,Asia,73549.96156991064,Small,1,Trade Hub (Rich & Open)
United Kingdom,60.28653706953235,42796.58246484342,0.9607389554612119,2840000000000.0,1710571428571.4285,66356648.0,Europe,25778.4484317446,Small,0,Trade-Dependent (Open)
United States,26.368018999691166,61432.24975596754,0.7988608736497571,20385714285714.285,5362857142857.143,331572648.5714286,Americas,16174.00339250798,Large,2,Large Self-Sufficient
Uruguay,49.59364768969367,17418.315603113897,1.2253425969876266,59596582170.57143,29550696938.57143,3421368.714285714,Americas,8637.098017288905,Small,0,Trade-Dependent (Open)
Uzbekistan,54.003244755491316,2103.383565870604,0.6841415454194896,68012843146.85714,34856288839.42857,32483328.85714286,Asia,1073.0516257345932,Small,0,Trade-Dependent (Open)
Vanuatu,94.06439249802372,2968.111436269686,0.6960522617081473,884173152.8571428,822341985.7142857,297488.4285714286,Oceania,2764.2822601983557,Small,0,Trade-Dependent (Open)
Venezuela (Bolivarian Republic of),80.3068087188312,6927.482755527099,1.078068367338656,207571428571.42856,168772350536.42856,29617467.0,Americas,5698.405962144857,Small,0,Trade-Dependent (Open)
Viet Nam,161.5357328038529,3205.6016364319644,1.0404144165981546,304857142857.1429,497571428571.4286,94879819.28571428,Asia,5244.228249139869,Small,0,Trade-Dependent (Open)
Yemen,46.38042247650713,570.4863900496878,0.22791948426426423,17279175438.57143,7742421576.0,30775403.85714286,Asia,251.57822824810836,Small,0,Trade-Dependent (Open)
Zambia,77.56477274822383,1264.7679888166715,1.089254128309147,22460870911.57143,17324164904.714287,17847322.14285714,Africa,970.6870737270671,Small,0,Trade-Dependent (Open)
Zanzibar,33.22382009373698,1011.3149164887384,0.8605109602238362,1609666261.857143,525871171.0,1579736.2857142857,Africa,332.8854162276995,Small,0,Trade-Dependent (Open)
Zimbabwe,54.45674470846927,1465.6104765158723,0.8099399346371605,22082162291.285713,12029543582.285715,15061246.285714285,Africa,798.7083773867927,Small,0,Trade-Dependent (Open)
